bookID,title,authors,average_rating,isbn,isbn13,language_code,# num_pages,ratings_count,text_reviews_count
31306,Murder at the Vicarage,Agatha Christie,4.0,0451201159,9780451201157,eng,256,451,50
31307,Miss Marple Omnibus Vol. 3 (Murder at the Vicarage / Nemesis / Sleeping Murder / At Bertram's Hotel),Agatha Christie,4.3,0006499619,9780006499619,eng,688,130,4
31308,A Murder Is Announced (Miss Marple  #5),Agatha Christie,4.0,0007120966,9780007120963,eng,382,680,87
31309,The Thirteen Problems (Miss Marple  #2),Agatha Christie,3.9,0007120869,9780007120864,eng,315,12840,578
31318,4:50 from Paddington / A Pocket Full of Rye (BBC Presents: Two Miss Marple Dramas),Agatha Christie,4.0,0553525638,9780553525632,eng,3,32,2
31319,They Do It With Mirrors (Miss Marple #6),Agatha Christie,3.8,0007120877,9780007120871,eng,284,415,46
31322,Three Classic Mysteries Starring Miss Marple: A Murder is Announced /The Body in the Library / Murder With Mirrors,Agatha Christie,4.2,0396074510,9780396074519,eng,628,119,6
33400,Das Haus an der Düne,Agatha Christie,3.9,3596506808,9783596506804,ger,222,56,3
37562,The Listerdale Mystery,Agatha Christie,3.6,0007154887,9780007154883,eng,317,178,32
37563,Mörderblumen,Agatha Christie,3.7,3502509131,9783502509134,ger,158,7,0
37574,The Mirror Crack'd,Agatha Christie,3.9,0553350153,9780553350159,eng,212,62,10
37575,Dead Man's Mirror,Agatha Christie,3.8,0553350749,9780553350746,eng,233,30,1
37582,Miss Marple Meets Murder: The Mirror Crack'd / A Pocket Full of Rye / At Bertram's Hotel / The Moving Finger,Agatha Christie,4.2,2731800097,9780800327101,eng,661,172,9
39954,Dame Agatha Abroad: Murder on the Orient Express / They Came to Bagdad / Murder in Mesopotamia,Agatha Christie,4.0,0739460870,9780739460870,eng,568,43,6
