bookID,authors,average_rating,language_code,text_reviews_count
281,Marguerite Duras-Barbara Bray-Helen Lane Cumberford,3.68,eng,41
283,Marguerite Duras,3.89,fre,23
285,Kahlil Gibran-Suheil Bushrui-Salma H. Al-Kuzbari,3.67,eng,9
288,Jean Gibran-جبران خليل جبران-Kahlil Gibran,4.2,eng,2
289,Kahlil Gibran-John Walbridge-Robin Waterfield,4.19,eng,16
290,Kahlil Gibran-جبران خليل جبران,3.98,eng,78
291,Kahlil Gibran-جبران خليل جبران-Anthony R. Ferris,3.92,eng,492
292,Kahlil Gibran-جبران خليل جبران,4.08,eng,210
295,Robert Louis Stevenson,3.83,eng,6160
296,Robert Louis Stevenson-Scott McKowen,3.83,en-US,41
297,Robert Louis Stevenson,3.83,eng,270
298,Robert Louis Stevenson-N.C. Wyeth-Timothy Meis,3.83,eng,16
299,Robert Louis Stevenson-Milo Winter,3.83,en-US,4
302,Deidre S. Laiken-A.J. McAllister-Robert Louis Stevenson,4.04,eng,18
304,George Eliot-Edmund White,3.83,eng,601
313,Ralph Ginzburg,4.63,eng,4
320,Gabriel García Márquez-Gregory Rabassa,4.06,eng,15763
324,Gabriel García Márquez,4.06,spa,6
325,Gabriel García Márquez,4.06,spa,8
330,Dr. Seuss,4.04,eng,153
332,Debbie Raleigh,3.58,eng,11
333,Kevin Henkes,3.46,eng,23
337,Patrick Süskind,4.02,spa,242
338,Tom Robbins,4.24,eng,393
343,Patrick Süskind-John E. Woods,4.02,eng,7070
347,Robert A. Heinlein,4.01,eng,17
348,Robert A. Heinlein,4.01,eng,617
349,Robert A. Heinlein,4.17,eng,416
350,Robert A. Heinlein,3.92,eng,5985
352,Robert A. Heinlein-Stephen Hickman,4.07,en-US,23
354,Robert A. Heinlein,3.87,en-US,187
355,Robert A. Heinlein,3.78,en-US,422
356,Robert A. Heinlein,3.97,eng,188
357,Douglas Adams,4.06,en-US,1353
359,Douglas Adams,3.92,eng,722
360,Douglas Adams,3.97,en-US,1269
362,Nick  Webb,4.14,eng,47
367,Terry Jones,3.6,eng,80
377,Douglas Adams-Christopher Cerf,3.92,eng,0
378,Norton Juster-Jules Feiffer,4.21,en-US,8290
382,Susan Nanus-Norton Juster,4.1,eng,13
385,Harry G. Frankfurt,3.57,eng,937
386,Nick Flynn,3.78,eng,907
394,Garry Wills,4.13,en-US,14
397,Abraham Lincoln-Michael McCurdy,4.53,eng,69
399,Don DeLillo,3.92,eng,170
400,Don DeLillo,3.99,eng,533
402,Don DeLillo,3.68,eng,411
403,Don DeLillo,3.43,eng,54
404,Don DeLillo,3.42,eng,70
406,Don DeLillo,3.22,eng,40
407,Don DeLillo,3.48,eng,137
408,Don DeLillo,3.64,eng,201
409,Thomas Pynchon,4.12,eng,577
410,Thomas Pynchon,3.96,eng,176
411,Thomas Pynchon,3.7,eng,229
412,Thomas Pynchon,4.02,eng,211
413,Thomas Pynchon,4.06,eng,570
414,Thomas Pynchon,3.68,en-US,64
415,Thomas Pynchon,4.02,eng,2058
416,Thomas Pynchon,3.5,eng,32
418,Richard Fariña-Thomas Pynchon,3.81,eng,215
420,Joan Didion,3.88,en-US,328
421,Joan Didion,4.17,eng,651
422,Joan Didion,3.8,eng,238
423,Joan Didion,3.86,eng,282
425,Joan Didion,3.81,en-US,165
426,Joan Didion-John Leonard,4.49,eng,107
428,Joan Didion-David Thomson,3.87,eng,1577
431,Paul Auster-Art Spiegelman-Luc Sante,3.9,eng,1794
432,Paul Auster,3.79,eng,696
434,Paul Auster,3.65,eng,185
435,Paul Auster,3.89,eng,153
444,Peter Moon-Preston B. Nichols-Nina Helms,3.91,eng,2
446,Paul Auster,3.83,eng,1138
447,Paul Auster,3.98,eng,475
449,Paul Auster,3.68,eng,599
450,Paul Karasik-David Mazzucchelli-Paul Auster-Bob Callahan,3.92,eng,18
453,Paul Auster,3.9,en-US,35
454,Paul Auster,3.23,eng,558
456,Paul Auster,3.95,eng,420
463,Paul Auster,3.77,eng,114
466,Paul Auster,4.4,fre,1
472,Paul Auster,3.77,eng,13
475,Jared Diamond,3.93,eng,2672
476,Stephen Leeb-Glen C. Strathy,3.39,en-US,26
477,Joseph A. Tainter,4.13,eng,87
478,Robert D. Putnam,3.79,eng,479
481,Philip K. Howard,3.92,eng,4
484,Joy Harjo-Gloria Bird-Beth Cuthand-Valerie Martinez-Patricia Blanco,4.39,eng,19
493,Nikola Tesla,4.01,eng,224
494,Marc J.  Seifer-William H. Terbo,3.77,eng,313
497,Carol Dommermuth-Costa,3.95,eng,5
498,Nikola Tesla-David Hatcher Childress,4.12,eng,2
505,Eric Hobsbawm-Terence O. Ranger-Hugh Trevor-Roper-Prys Morgan-David Cannadine-Bernard S. Cohn,3.96,eng,41
511,Julie Elizabeth Leto-Leslie Kelly-Kimberly Raye,3.77,eng,12
515,Dave Thomas-Chad Fowler-Andy Hunt,4.04,en-US,52
523,Maureen Kelly-CliffsNotes-William Golding,3.92,eng,7
524,William Golding,3.67,eng,86
525,William Golding-Ben Gibson-E.M. Forster-Edmund L. Epstein,3.67,eng,153
531,Victor Davis Hanson,4.11,eng,92
534,Ephraim Sevela-Antonina W. Bouis,4.15,eng,0
537,Alice Sebold,3.79,en-GB,960
538,Alice Sebold,3.79,en-US,75
539,Sharyn McCrumb,3.81,eng,40
565,Dave Shea-Molly E. Holzschlag,4.0,en-US,28
570,Elizabeth Castro,3.8,en-US,43
576,Michael Ochs-Patrick Javault-Ulrike Wasel,3.84,mul,28
597,Chuck Klosterman,3.83,eng,1104
599,Chuck Klosterman,3.74,eng,3341
604,Eric Schlosser,3.77,eng,10
619,Jane Feather,3.51,eng,17
629,Robert M. Pirsig,3.77,eng,6101
639,Kevin O'Malley-Carol Heyer-Scott Goto,4.08,en-US,267
642,Ronald L. DiSanto-Thomas J. Steele,3.72,en-GB,10
643,John Harold Haynes,3.83,eng,2
650,Catharine M. Fishel-Bill Gardner,3.96,eng,0
655,Leo Tolstoy-Hugh McLean,4.1,eng,257
656,Leo Tolstoy-Henry Gifford-Aylmer Maude-Louise Maude,4.11,eng,5903
658,Leo Tolstoy-Constance Garnett,4.13,eng,191
661,Brian Herbert-Kevin J. Anderson,3.65,en-GB,5
662,Ayn Rand-Leonard Peikoff,3.68,eng,14267
663,Ayn Rand,3.68,eng,105
664,Ayn Rand,3.86,en-US,228
665,Ayn Rand-Nathaniel Branden,3.5,eng,438
667,Ayn Rand,3.63,eng,6951
668,Ayn Rand-Leonard Peikoff,3.91,eng,1065
669,Ayn Rand-Nathaniel Branden-Alan Greenspan-Robert Hessen,3.87,eng,153
670,Ayn Rand-Michael S. Berliner-Leonard Peikoff,3.97,eng,2
672,J.J. Isler-Peter Isler,3.94,eng,6
675,Colin  Wells,3.87,eng,78
676,Billy Collins,4.23,eng,608
678,Christopher Caswell,3.63,eng,5
681,Kevin Trudeau,3.08,en-US,283
685,Bernard Malamud-Kevin Baker,3.63,eng,639
698,Anne Tyler,3.55,eng,1811
700,Gary Colombo-Bonnie Lisle,3.77,eng,3
702,Thomas E. Skidmore-Peter H. Smith,3.59,en-US,10
703,Philip Roth,3.75,eng,2749
706,Jon Stewart-Ben Karlin-David Javerbaum-Rich Bloomquist-Steve Bodow-Tim Carvell-Eric Drysdale-J.R. Havlan-Scott Jacobson-Tom Johnson-Rob Kutner-Chris Regan-Jason Reich-Jason Ross-Stephen Colbert-Samantha Bee-Rob Corddry-Brendan Hay-Ed Helms,4.02,eng,1118
707,Jon Stewart,3.59,en-GB,417
759,Gabriel García Márquez-Gregory Rabassa-J.S. Bernstein,4.19,eng,173
762,Gabriel García Márquez,3.96,spa,371
763,Gabriel García Márquez,4.06,spa,6
764,Gabriel García Márquez,3.98,spa,237
765,Gabriel García Márquez-Edith Grossman,3.98,eng,48
766,Gabriel García Márquez,3.59,spa,312
771,Brian Greene,4.07,eng,1069
775,Upasika Kee Nanayon-Thanissaro Bhikkhu,4.38,eng,6
787,Rob Humphreys-Beth Chaplin-Rebecca Morrill,3.75,eng,0
792,Lonely Planet-Sarah Johnstone-Tom Masters,4.03,eng,5
793,Lonely Planet-Sarah Johnstone-Steve Fallon,4.09,eng,0
794,Lonely Planet-Steve Fallon-Pat Yale,4.03,eng,0
797,Lonely Planet-Sarah Johnstone-Tom Masters,4.03,spa,0
799,Lonely Planet-Mark Honan,0.0,eng,0
815,H.G. Bissinger,3.87,eng,235
816,Neal Stephenson,4.25,eng,4104
820,Neal Stephenson,4.13,fre,1
821,Neal Stephenson,4.11,fre,0
822,Neal Stephenson,4.25,en-US,552
823,Neal Stephenson,3.93,eng,1682
824,Neal Stephenson-J. Frederick George,3.61,eng,129
825,Neal Stephenson,3.71,eng,525
826,Neal Stephenson,3.25,en-US,218
827,Neal Stephenson,4.19,eng,2664
828,Neal Stephenson-George F. Jewsbury-Stephen  Bury,3.67,eng,259
829,Neal Stephenson,4.2,en-US,60
830,Neal Stephenson,4.03,eng,6601
831,Neal Stephenson-Joachim Körber,4.03,ger,16
834,Dan Harrington-Bill Robertie,4.15,eng,30
835,Dan Harrington-Bill Robertie,4.23,eng,73
840,Donald A. Norman,4.19,eng,1236
841,Donald A. Norman,3.94,eng,141
842,Donald A. Norman,4.19,eng,30
848,Alex C. Jones-Diane M. Hanson-Stephen K. Ray,4.26,en-GB,6
864,Paulo Coelho-Alan R. Clarke-James Noel Smith,3.85,eng,71
865,Paulo Coelho-Alan R. Clarke-Özdemir İnce,3.85,eng,54668
866,Hiromu Arakawa-Akira Watanabe,4.57,eng,141
868,Hiromu Arakawa-Akira Watanabe,4.56,eng,274
869,Hiromu Arakawa-Akira Watanabe,4.57,eng,145
870,Hiromu Arakawa-Akira Watanabe,4.49,eng,1326
871,Hiromu Arakawa-Akira Watanabe,4.55,eng,270
872,Paulo Coelho-Alan R. Clarke-Mœbius,3.85,en-US,31
873,Hiromu Arakawa-Akira Watanabe,4.52,eng,384
874,Khaled Hosseini,4.28,eng,201
880,Robert   Harris,3.81,eng,1633
888,Edward Bulwer-Lytton-John Gregory Betancourt,3.59,eng,67
890,John Steinbeck,3.86,eng,23959
899,John Steinbeck-Jim Taylor,3.86,eng,162
900,Neil Strauss,3.74,en-US,1510
902,Ellen Raskin,4.02,eng,8278
903,Zilpha Keatley Snyder,3.82,eng,1083
929,Arthur Golden,4.1,eng,3015
930,Arthur Golden,4.1,eng,19452
931,Arthur Golden,4.1,en-US,254
932,David        James-Peggy Mulloy-Rob Marshall-Arthur Golden,4.08,eng,8
933,Arthur Golden,4.1,eng,425
935,Mineko Iwasaki-Rande Brown,3.93,eng,148
936,Arthur Golden,4.1,eng,5
941,J. Torres-Eric  Kim,3.44,eng,2
944,Margaret Johnson-Philip Prowse,3.37,eng,6
947,Nora Roberts,3.74,eng,3
955,Gary Chapman,4.71,eng,4
960,Dan Brown,3.88,eng,20851
965,Dan Brown,3.88,spa,22
966,Dan Brown-Raúl Amundaray,3.88,spa,7
968,Dan Brown,3.82,eng,35316
969,Dan Brown,3.82,eng,110
972,Dan Brown-Daniel Roche,3.82,fre,14
975,Dan Brown,3.7,eng,410
976,Dan Brown,3.7,eng,6870
977,Dan Brown,3.7,eng,178
980,Dan Brown,3.7,eng,4
981,Dan Brown-دان براون-فايزة المنجد-محمد فداء الهاشمي,3.7,ara,4
983,Dan Brown,3.7,eng,12
987,P.J. Parrish,4.04,eng,39
991,V.C. Andrews,3.82,eng,5
998,Thomas J. Stanley-William D. Danko,4.02,eng,2373
1005,Napoleon Hill,4.18,eng,2305
1007,Napoleon Hill,4.18,eng,9
1014,Mike   Mason,3.57,eng,14
1022,Riki Anne Wilchins,3.95,en-US,16
1032,Donald J. Trump-Tony Schwartz,3.65,en-US,856
1052,George S. Clason,4.25,eng,2865
1053,George S. Clason,4.25,eng,12
1059,Trevanian-Gisela Stege,4.22,eng,612
1067,David McCullough,4.07,eng,6034
1068,Peter  Stone-Sherman Edwards,4.21,eng,30
1073,Robert J. Allison,3.6,eng,5
1077,Robert Morgan,3.73,eng,42
1078,Pearl S. Buck,3.98,eng,7481
1083,Pearl S. Buck,3.98,en-US,7
1090,Rick Warren,3.92,eng,2
1093,Rick Warren,3.92,en-US,3
1097,Eric Schlosser,3.74,eng,4923
1099,Eric Schlosser,3.74,eng,75
1103,Lisa See,4.07,eng,14990
1110,John Grisham,3.78,eng,2245
1111,Robert A. Caro,4.5,eng,1109
1117,Stephen W. Frey,3.73,eng,1
1120,Bill Phillips-Michael D'Orso,3.73,en-US,275
1121,Pamela Peeke-Cindy Crawford,3.63,en-US,63
1123,Bill Phillips,3.95,eng,51
1130,Robert G. Hagstrom-Bill Miller-Kenneth L. Fisher,4.12,en-US,17
1138,Robert P. Miles-Tom Osborne,4.05,eng,1
1164,Marvin N. Olasky-John R. Perry,3.16,eng,7
1167,Barbara Park-Denise Brunkus,3.98,en-US,591
1169,Sarah Mlynowski,3.66,eng,68
1171,Michael   Lewis,4.15,eng,931
1177,Frank McConnell,3.31,eng,1
1191,Giada De Laurentiis-Victoria Pearson,3.96,eng,73
1192,Giada De Laurentiis,3.95,eng,212
1193,Giada De Laurentiis-Victoria Pearson,4.09,eng,54
1196,Tyler Florence-Petrina Tinslay,4.1,eng,33
1197,Tyler Florence-JoAnn Cianciulli-Bill Bettencourt-Bobby Flay,4.05,eng,16
1198,Tyler Florence-Petrina Tinslay,3.92,eng,15
1202,Steven D. Levitt-Stephen J. Dubner,3.96,eng,12648
1204,Steven D. Levitt-Stephen J. Dubner,3.96,spa,23
1206,Steven D. Levitt-Stephen J. Dubner,3.96,en-US,5
1207,Steven D. Levitt-Stephen J. Dubner-Carlos Braga,3.96,por,6
1217,Jared Diamond,3.93,eng,0
1218,Barry Eisler,4.25,eng,22
1226,Yann Martel,3.9,en-US,672
1227,Yann Martel,3.9,spa,8
1230,Yann Martel-Nicole Martel-Emile Martel,3.9,fre,24
1232,Carlos Ruiz Zafón-Lucia Graves,4.26,eng,21008
1234,Robert Templer,3.48,eng,8
1239,Robert Templer,3.48,eng,0
1241,James Frey,3.63,eng,10669
1242,Python Bonkers,3.55,en-US,6
1243,James Pinocchio-Pablo Fenjves,3.4,en-US,24
1246,James M. Kouzes-Barry Z. Posner,4.04,en-US,41
1252,Donald T. Phillips,4.13,eng,267
1255,Gary Yukl,3.68,en-GB,4
1259,Rudolph W. Giuliani,3.95,eng,1
1265,Rudolph W. Giuliani,3.72,eng,142
1274,John Gray,3.54,eng,3115
1276,John Gray,3.54,en-US,1
1277,John Gray,3.54,eng,121
1280,John Gray,3.54,en-GB,9
1281,John Gray,3.54,eng,3
1290,Ron  Louis-David Copeland,3.77,en-US,12
1295,Jean M. Auel,4.04,eng,4406
1296,Jean M. Auel,4.04,eng,63
1297,Jean M. Auel-Donada  Peters,4.43,eng,34
1298,Jean M. Auel,4.56,eng,0
1301,Michael   Lewis,4.26,eng,4002
1302,Doug Walsh,0.0,eng,0
1303,Robert Greene-Joost Elffers,4.19,eng,2751
1305,Steven Pressfield,4.41,eng,1530
1306,Steven Pressfield,4.41,en-US,31
1307,Margaret Weis-Tracy Hickman,4.06,eng,173
1312,Thomas Harlan,3.58,en-US,5
1315,Steven Pressfield,3.96,eng,193
1317,Steven Pressfield,3.89,eng,150
1318,Steven Pressfield,3.75,eng,121
1319,Steven Pressfield-Robert McKee,4.02,eng,4238
1320,Stephen J. Rosen-Steven Pressfield,3.74,en-US,1
1322,David J. Danelo-Steven Pressfield,3.88,eng,6
1326,Plato-Walter Hamilton,4.12,en-US,19
1327,Plato-Robin Waterfield,3.91,eng,5
1328,Plato-C.J. Rowe,3.91,eng,20
1330,Plato-Harold North Fowler,4.36,mul,13
1331,Babrius-Phaedrus-Ben Edwin Perry,4.31,eng,2
1332,Plato-John Burnet-Hipparchus,4.87,grc,0
1334,Plato-Benjamin Jowett,4.47,eng,1
1337,Josef Pieper-Richard Winston-Clara Winston,4.48,eng,4
1338,Plato-C.D.C. Reeve,4.05,eng,4
1342,Plato-James H. Nichols Jr.,4.41,eng,1
1351,Plato-C.J. Rowe,3.84,eng,6
1354,Plato-Walter Hamilton-Chris Emlyn-Jones,3.95,en-GB,180
1356,Plato-W.R.M. Lamb,4.39,eng,5
1362,Herodotus-Aubrey de Sélincourt-John M. Marincola,3.98,eng,558
1363,Herodotus-Aubrey de Sélincourt-John M. Marincola,3.98,eng,18
1364,Herodotus-Henry Francis Cary,3.98,en-US,0
1365,Herodotus-Carolyn Dewald-Robin Waterfield,3.98,eng,39
1366,Herodotus-Aubrey de Sélincourt-Andrew Robert Burn,3.98,en-US,17
1367,Herodotus-Jennifer Tolbert Roberts-Walter Blanco,3.98,en-US,5
1368,Herodotus-Edward Henry Blakeney-George Rawlinson-Rosalind Thomas,3.98,en-US,10
1369,Herodotus-Peter Grene,3.98,en-US,6
1371,Homer-Robert Fagles-Bernard Knox,3.85,eng,3218
1373,Homer-Stanley Lombardo-Sheila Murnaghan,3.85,en-US,131
1374,Homer-Robert Fitzgerald-Andrew Ford,3.85,en-US,72
1375,Homer-Robert Fagles-Bernard Knox,4.03,eng,367
1376,Homer-E.V. Rieu-Peter Jones-D.C.H. Rieu,3.85,eng,111
1377,Homer-W.H.D. Rouse,3.85,en-US,14
1378,Homer-Sheila Murnaghan-Stanley Lombardo,3.95,en-US,16
1381,Homer-Robert Fagles-Bernard Knox,3.75,eng,6249
1382,Homer-Robert Fitzgerald-D.S. Carne-Ross,3.75,eng,173
1383,Homer-Richmond Lattimore,3.75,eng,78
1384,Homer-E.V. Rieu-Peter Jones-D.C.H. Rieu,3.75,eng,159
1387,Homer-W.H.D. Rouse,3.75,eng,24
1391,Virgil-Barbara Weiden Boyd,4.34,eng,6
1402,Virgil-Henry Rushton Fairclough-G.P. Goold,4.31,mul,10
1403,Ed Roberson,4.14,eng,7
1405,Virgil-Cecil Day-Lewis,3.82,eng,14
1408,Paul  Kirk,3.9,eng,0
1414,William Shakespeare-G. Blakemore Evans,4.55,eng,163
1417,William Shakespeare-Stephen Orgel-A.R. Braunmuller,4.59,eng,25
1419,William Shakespeare,4.49,eng,6
1420,William Shakespeare-Harold Bloom-Rex Gibson,4.01,eng,6702
1421,William Shakespeare-Stanley Wells-Gary Taylor,4.62,eng,38
1423,Reduced Shakespeare Company-Jess Borgeson-Adam Long-Daniel Singer-Jess Winfield,4.46,eng,117
1424,Paulo Coelho-Alan R. Clarke,3.65,en-US,90
1425,Paulo Coelho-Alan R. Clarke,3.31,en-US,56
1426,Paulo Coelho,3.7,en-US,905
1427,Paulo Coelho-Margaret Jull Costa,3.57,eng,2500
1428,Paulo Coelho-Alan R. Clarke,3.57,eng,2644
1429,Paulo Coelho-Clifford E. Landers,3.62,en-US,49
1430,Paulo Coelho-Margaret Jull Costa,3.69,eng,4731
1431,Paulo Coelho-Margaret Jull Costa,3.7,eng,5201
1433,William Shakespeare-Stephen Orgel-A.R. Braunmuller,4.01,eng,116
1437,Carla Lynn Stockton,3.68,en-US,6
1438,William Shakespeare-Terri Mategrano,4.04,eng,16
1439,Giorgio De Santillana-Hertha Von Dechend,4.27,eng,52
1440,Thucydides-C.F. Smith,4.3,mul,7
1441,Thucydides-Paul Woodruff,3.72,eng,13
1444,Thucydides-C.F. Smith,4.34,mul,0
1445,Thucydides-Steven Lattimore,3.89,eng,23
1449,Thucydides-Jennifer Tolbert Roberts-Walter Blanco,3.89,eng,4
1459,Thucydides-C.F. Smith,4.28,eng,0
1461,Cynthia W. Shelmerdine,4.5,eng,0
1462,Euripides-Richmond Lattimore-David Grene-Rex Warner-Ralph Gladstone,4.03,eng,52
1463,Euripides-David Grene-Richmond Lattimore-Emily Townsend Vermeule-Elizabeth Wyckoff-William Arrowsmith,4.21,eng,44
1465,Euripides-David Grene-Richmond Lattimore-William Arrowsmith-Frank William Jones-Charles R. Walker,4.21,eng,8
1466,Euripides-Anne Carson,4.39,eng,68
1467,Euripides-Moses Hadas-John Maclean,4.17,en-US,21
1468,Euripides-David Grene-Richmond Lattimore-William Arrowsmith-John Frederick Nims-Ronald Frederick Willetts,3.98,eng,15
1470,Euripides-David Grene-Richmond Lattimore-Witter Bynner-William Arrowsmith,4.33,eng,12
1473,Euripides-John Davie-Richard Rutherford,4.03,eng,113
1474,Euripides-David Kovacs,4.21,eng,4
1475,Euripides-Donald J. Mastronarde,3.85,grc,9
1476,Euripides-John Davie-Richard Rutherford,4.13,eng,8
1479,Euripides-Reginald Gibbons-Peter H. Burian,3.86,eng,13
1480,Euripides-David Thompson-J. Michael Walton,3.78,eng,0
1486,Euripides,3.56,eng,4
1488,Wole Soyinka,3.85,eng,6
1489,Euripides-James Morwood-Robin Waterfield,4.07,eng,2
1494,Euripides-William Arrowsmith,3.83,eng,85
1495,Euripides-David Kovacs,4.47,eng,4
1498,Euripides-A. Dale,3.69,eng,1
1499,Euripides-Georgia Ann Machemer-Michael   Collier,3.85,eng,33
1504,William Allan,3.88,eng,1
